accession,pangolin_lineage,mut_sum,stat_b,stat_s,stat_qs,H_A_A,H_A_C,H_A_G,H_A_T,H_C_A,H_C_C,H_C_G,H_C_T,H_G_A,H_G_C,H_G_G,H_G_T,H_T_A,H_T_C,H_T_G,H_T_T
PX703558,XFG.9.3,70.0,6.276601307189542,3.22663365874165,-0.7408808533158058,1107.0,2.0,9.0,2.0,6.0,692.0,2.0,17.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX703559,XFG.3.1.3,71.0,6.4399999999999995,3.123559739968617,-0.7253634823616263,1106.0,2.0,10.0,2.0,6.0,692.0,2.0,17.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX703560,XFG.9.3,69.0,5.703267973856209,2.7649725142250956,-0.7484455536605893,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX703561,XFG.3,70.0,4.996601307189542,2.2405063291139236,-0.7636351054822165,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,9.0,5.0,1244.0
PX703562,XFG.3.1.3,71.0,6.4399999999999995,3.123559739968617,-0.7253634823616263,1106.0,2.0,10.0,2.0,6.0,692.0,2.0,17.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX703563,XFG.3,70.0,5.866666666666667,2.6588910487827464,-0.7329723084996097,1106.0,2.0,10.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX447498,LP.8.1.4,65.0,5.266666666666667,3.1268190117855377,-0.6855756318608285,1109.0,2.0,7.0,2.0,6.0,694.0,2.0,14.0,8.0,4.0,683.0,5.0,3.0,7.0,5.0,1244.0
OZ302278,AY.43,6.0,,5.499999999999998,,935.0,0.0,0.0,0.0,1.0,595.0,2.0,0.0,2.0,0.0,600.0,0.0,0.0,0.0,1.0,1080.0
OZ302279,AY.43,7.0,,4.2727272727272725,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302280,AY.4.2,10.0,,4.5,,1122.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,700.0,0.0,0.0,1.0,1.0,1267.0
OZ302281,AY.125,8.0,,4.769230769230767,,1122.0,0.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302286,AY.125,8.0,,4.769230769230767,,1122.0,0.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302288,AY.121,9.0,,5.634146341463415,,1006.0,0.0,1.0,0.0,1.0,653.0,2.0,2.0,2.0,0.0,656.0,0.0,0.0,0.0,1.0,1171.0
OZ302291,AY.127,6.0,,5.499999999999998,,993.0,0.0,0.0,0.0,1.0,615.0,2.0,0.0,2.0,0.0,604.0,0.0,0.0,0.0,1.0,1088.0
OZ302292,AY.125,4.0,,2.0,,979.0,0.0,1.0,0.0,0.0,624.0,2.0,0.0,1.0,0.0,602.0,0.0,0.0,0.0,0.0,1066.0
OZ302293,AY.122,10.0,,2.2765957446808516,,1121.0,1.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,1.0,699.0,0.0,0.0,1.0,1.0,1267.0
OZ302294,AY.4.2,8.0,,5.466666666666663,,1054.0,0.0,1.0,0.0,1.0,669.0,2.0,2.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302295,AY.4,8.0,,3.9599999999999995,,1051.0,0.0,0.0,0.0,1.0,658.0,2.0,1.0,2.0,1.0,643.0,0.0,0.0,0.0,1.0,1177.0
OZ302296,AY.43.8,8.0,,4.769230769230767,,1122.0,0.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302298,AY.121.1,9.0,,5.634146341463415,,1006.0,0.0,1.0,0.0,1.0,653.0,2.0,2.0,2.0,0.0,656.0,0.0,0.0,0.0,1.0,1171.0
OZ302299,AY.125,7.0,,3.777777777777775,,1122.0,0.0,1.0,0.0,1.0,719.0,1.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302303,AY.4.2,11.0,,5.056338028169013,,1122.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,3.0,0.0,699.0,0.0,0.0,1.0,1.0,1267.0
OZ302305,AY.126,9.0,,2.0270270270270263,,1121.0,1.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302306,AY.41,9.0,,5.5,,993.0,0.0,0.0,0.0,1.0,615.0,2.0,0.0,2.0,0.0,601.0,3.0,0.0,0.0,1.0,1088.0
OZ302308,AY.125,9.0,,4.268292682926829,,1122.0,0.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,1.0,1.0,1267.0
OZ302312,AY.106,10.0,,6.571428571428573,,1122.0,0.0,1.0,0.0,1.0,716.0,2.0,3.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302313,AY.51,9.0,,3.0,,1121.0,0.0,2.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,699.0,1.0,0.0,0.0,1.0,1268.0
OZ302317,AY.122,6.0,,5.499999999999998,,906.0,0.0,0.0,0.0,1.0,562.0,2.0,0.0,2.0,0.0,555.0,0.0,0.0,0.0,1.0,981.0
OZ302318,AY.125,8.0,,4.769230769230767,,1122.0,0.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302320,AY.5,8.0,,4.769230769230767,,1122.0,0.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302321,AY.4.2,10.0,,4.5,,1122.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,700.0,0.0,0.0,1.0,1.0,1267.0
OZ302323,AY.121,8.0,,4.769230769230767,,1006.0,0.0,1.0,0.0,1.0,654.0,2.0,1.0,2.0,0.0,656.0,0.0,0.0,0.0,1.0,1171.0
OZ302326,AY.43.8,7.0,,4.2727272727272725,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302329,AY.43,7.0,,4.2727272727272725,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302330,AY.125,7.0,,3.777777777777775,,1122.0,0.0,1.0,0.0,1.0,719.0,1.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302331,AY.122,4.0,,2.0,,978.0,0.0,1.0,0.0,0.0,620.0,2.0,0.0,1.0,0.0,602.0,0.0,0.0,0.0,0.0,1066.0
OZ302332,AY.9.2,10.0,,3.1509433962264164,,1122.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,1.0,699.0,0.0,0.0,0.0,1.0,1268.0
OZ302335,AY.33,13.0,,2.096774193548387,,1121.0,0.0,2.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,699.0,1.0,0.0,2.0,1.0,1266.0
OZ302337,AY.126,10.0,,1.8620689655172415,,1121.0,1.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,1.0,1.0,1267.0
OZ302338,AY.122,8.0,,5.466666666666663,,963.0,0.0,1.0,0.0,1.0,624.0,2.0,2.0,1.0,0.0,597.0,0.0,0.0,0.0,1.0,1056.0
OZ302340,AY.122,7.0,,4.2727272727272725,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302341,AY.43,7.0,,4.2727272727272725,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302342,AY.43,6.0,,4.000000000000001,,963.0,0.0,1.0,0.0,1.0,626.0,2.0,0.0,1.0,0.0,597.0,0.0,0.0,0.0,1.0,1056.0
OZ302343,AY.4.2,10.0,,4.5,,1122.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,700.0,0.0,0.0,1.0,1.0,1267.0
OZ302344,AY.129,8.0,,4.769230769230767,,1122.0,0.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302345,AY.126,9.0,,2.090909090909091,,1050.0,1.0,0.0,0.0,1.0,658.0,2.0,1.0,2.0,0.0,644.0,0.0,0.0,1.0,1.0,1176.0
OZ302347,AY.43,10.0,,5.241379310344828,,1064.0,0.0,1.0,0.0,2.0,673.0,2.0,1.0,2.0,0.0,660.0,0.0,0.0,1.0,1.0,1178.0
OZ302348,AY.9.2,10.0,,5.4615384615384635,,1121.0,0.0,2.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302349,AY.43,8.0,,3.272727272727274,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,699.0,1.0,0.0,0.0,1.0,1268.0
OZ302351,AY.44,6.0,,4.000000000000001,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302353,AY.43.8,7.0,,4.2727272727272725,,1064.0,0.0,1.0,0.0,1.0,675.0,2.0,0.0,2.0,0.0,660.0,0.0,0.0,0.0,1.0,1179.0
OZ302354,AY.44,7.0,,4.2727272727272725,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302355,AY.122,7.0,,4.2727272727272725,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302356,AY.43,8.0,,3.272727272727274,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,699.0,1.0,0.0,0.0,1.0,1268.0
OZ302357,AY.122,8.0,,3.272727272727274,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,699.0,1.0,0.0,0.0,1.0,1268.0
OZ302359,AY.42,10.0,,5.2666666666666675,,1121.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,698.0,1.0,0.0,0.0,1.0,1266.0
OZ302360,AY.122,8.0,,3.0000000000000013,,1121.0,0.0,1.0,1.0,1.0,719.0,2.0,0.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302362,AY.43,9.0,,3.8888888888888857,,963.0,0.0,1.0,0.0,2.0,625.0,2.0,0.0,1.0,1.0,596.0,0.0,0.0,1.0,1.0,1055.0
OZ302363,AY.9.2,10.0,,5.4615384615384635,,1121.0,0.0,2.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302365,AY.4.2,10.0,,4.5,,1122.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,700.0,0.0,0.0,1.0,1.0,1267.0
OZ302368,AY.4,6.0,,4.000000000000001,,963.0,0.0,1.0,0.0,1.0,626.0,2.0,0.0,1.0,0.0,597.0,0.0,0.0,0.0,1.0,1056.0
OZ302369,AY.4.9,8.0,,4.769230769230767,,1122.0,0.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302370,AY.119,7.0,,4.578947368421053,,963.0,0.0,1.0,0.0,1.0,625.0,2.0,1.0,1.0,0.0,597.0,0.0,0.0,0.0,1.0,1056.0
OZ302371,AY.43,9.0,,3.606060606060609,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,698.0,2.0,0.0,0.0,1.0,1268.0
OZ302373,AY.98.1,9.0,,5.634146341463415,,1122.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302376,B.1.617.2,6.0,,4.000000000000001,,963.0,0.0,1.0,0.0,1.0,626.0,2.0,0.0,1.0,0.0,597.0,0.0,0.0,0.0,1.0,1056.0
OZ302377,AY.33,12.0,,2.959999999999999,,1121.0,0.0,2.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,699.0,1.0,0.0,1.0,1.0,1267.0
OZ302378,AY.43,5.0,,4.600000000000002,,677.0,0.0,1.0,0.0,1.0,454.0,2.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,1.0,780.0
OZ302380,AY.4.2,10.0,,4.5,,1122.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,700.0,0.0,0.0,1.0,1.0,1267.0
OZ302382,AY.42,7.0,,4.578947368421053,,1054.0,0.0,1.0,0.0,1.0,670.0,2.0,1.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302383,AY.126,7.0,,2.333333333333335,,949.0,1.0,1.0,0.0,1.0,613.0,2.0,0.0,1.0,0.0,580.0,0.0,0.0,0.0,1.0,1024.0
OZ302385,AY.126,10.0,,1.8620689655172407,,1046.0,1.0,1.0,0.0,1.0,674.0,2.0,1.0,2.0,0.0,641.0,1.0,0.0,0.0,1.0,1163.0
OZ302387,AY.36.1,8.0,,5.466666666666669,,966.0,0.0,0.0,0.0,1.0,599.0,2.0,1.0,2.0,0.0,582.0,1.0,0.0,0.0,1.0,1089.0
OZ302388,AY.4.2,7.0,,4.578947368421053,,963.0,0.0,1.0,0.0,1.0,625.0,2.0,1.0,1.0,0.0,597.0,0.0,0.0,0.0,1.0,1056.0
OZ302390,AY.9.2,11.0,,6.265822784810126,,1122.0,0.0,1.0,0.0,1.0,716.0,2.0,3.0,2.0,0.0,699.0,1.0,0.0,0.0,1.0,1268.0
OZ302391,AY.126,9.0,,1.2222222222222214,,1050.0,1.0,0.0,0.0,1.0,658.0,2.0,1.0,2.0,1.0,643.0,0.0,0.0,0.0,1.0,1177.0
OZ302392,AY.46,7.0,,4.2727272727272725,,1047.0,0.0,1.0,0.0,1.0,675.0,2.0,0.0,2.0,0.0,642.0,0.0,0.0,0.0,1.0,1163.0
OZ302394,AY.4,5.0,,4.999999999999998,,892.0,0.0,0.0,0.0,0.0,553.0,2.0,1.0,2.0,0.0,534.0,0.0,0.0,0.0,0.0,995.0
OZ302395,AY.4,6.0,,4.000000000000001,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302399,B.1.617.2,6.0,,4.000000000000001,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302400,AY.4,6.0,,4.000000000000001,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302401,AY.4,6.0,,4.000000000000001,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302404,AY.121,8.0,,4.0,,1054.0,0.0,1.0,0.0,1.0,670.0,2.0,1.0,1.0,0.0,651.0,0.0,0.0,1.0,1.0,1159.0
OZ302406,AY.4.2,10.0,,4.5,,1122.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,700.0,0.0,0.0,1.0,1.0,1267.0
OZ302407,AY.5,7.0,,2.9999999999999982,,1039.0,0.0,1.0,0.0,1.0,663.0,2.0,0.0,1.0,0.0,644.0,1.0,0.0,0.0,1.0,1152.0
OZ302408,AY.4,7.0,,2.9999999999999982,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,650.0,1.0,0.0,0.0,1.0,1160.0
OZ302409,AY.129,9.0,,4.268292682926828,,1035.0,0.0,1.0,0.0,1.0,665.0,2.0,1.0,2.0,0.0,650.0,1.0,0.0,0.0,1.0,1161.0
OZ302410,AY.46.6,6.0,,4.000000000000001,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302411,AY.46.6,6.0,,4.000000000000001,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302412,AY.43,8.0,,4.923076923076925,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,700.0,0.0,0.0,1.0,1.0,1267.0
OZ302413,AY.98.1,7.0,,5.8421052631578965,,1051.0,0.0,0.0,0.0,1.0,658.0,2.0,1.0,2.0,0.0,644.0,0.0,0.0,0.0,1.0,1177.0
OZ302414,AY.84,6.0,,4.846153846153847,,676.0,0.0,1.0,1.0,1.0,454.0,2.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,1.0,780.0
OZ302415,B.1.617.2,6.0,,4.000000000000001,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302417,AY.43,10.0,,4.4893617021276615,,1122.0,0.0,1.0,0.0,2.0,718.0,2.0,0.0,2.0,1.0,699.0,0.0,0.0,1.0,1.0,1267.0
OZ302418,AY.5,7.0,,4.2727272727272725,,1037.0,0.0,1.0,0.0,1.0,660.0,2.0,0.0,2.0,0.0,639.0,0.0,0.0,0.0,1.0,1180.0
OZ302420,AY.122,8.0,,1.0909090909090904,,1052.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,1.0,649.0,1.0,0.0,0.0,1.0,1156.0
OZ302421,AY.4.2,10.0,,4.5,,1122.0,0.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,0.0,700.0,0.0,0.0,1.0,1.0,1267.0
OZ302422,AY.122,6.0,,4.000000000000001,,963.0,0.0,1.0,0.0,1.0,626.0,2.0,0.0,1.0,0.0,597.0,0.0,0.0,0.0,1.0,1056.0
OZ302423,AY.122,6.0,,4.000000000000001,,956.0,0.0,1.0,0.0,1.0,619.0,2.0,0.0,1.0,0.0,606.0,0.0,0.0,0.0,1.0,1077.0
OZ302424,AY.43,8.0,,3.3333333333333357,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,649.0,2.0,0.0,0.0,1.0,1160.0
OZ302425,AY.33,9.0,,4.2558139534883725,,926.0,0.0,1.0,0.0,1.0,588.0,1.0,2.0,1.0,0.0,576.0,2.0,0.0,0.0,1.0,995.0
OZ302427,AY.43.8,6.0,,4.000000000000001,,963.0,0.0,1.0,0.0,1.0,626.0,2.0,0.0,1.0,0.0,597.0,0.0,0.0,0.0,1.0,1056.0
OZ302431,AY.125,6.0,,4.000000000000001,,963.0,0.0,1.0,0.0,1.0,626.0,2.0,0.0,1.0,0.0,597.0,0.0,0.0,0.0,1.0,1056.0
OZ302433,AY.33,12.0,6.666666666666667,6.252173913043479,,1052.0,0.0,2.0,1.0,1.0,669.0,2.0,2.0,1.0,0.0,649.0,2.0,0.0,0.0,1.0,1160.0
OZ302434,AY.112,9.0,,5.0,,1039.0,0.0,1.0,0.0,1.0,661.0,2.0,2.0,1.0,0.0,644.0,1.0,0.0,0.0,1.0,1152.0
OZ302435,AY.122,6.0,,4.000000000000001,,963.0,0.0,1.0,0.0,1.0,626.0,2.0,0.0,1.0,0.0,597.0,0.0,0.0,0.0,1.0,1056.0
OZ302436,AY.46.6,6.0,,4.000000000000001,,956.0,0.0,1.0,0.0,1.0,619.0,2.0,0.0,1.0,0.0,606.0,0.0,0.0,0.0,1.0,1077.0
OZ302438,AY.44,6.0,,4.000000000000001,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302440,AY.122,6.0,,4.000000000000001,,865.0,0.0,1.0,0.0,1.0,574.0,2.0,0.0,1.0,0.0,552.0,0.0,0.0,0.0,1.0,973.0
OZ302441,AY.126,8.0,,3.1428571428571397,,1053.0,1.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,1.0,1.0,1159.0
OZ302442,AY.42,7.0,,5.8421052631578965,,885.0,0.0,0.0,0.0,1.0,550.0,2.0,1.0,2.0,0.0,545.0,0.0,0.0,0.0,1.0,970.0
OZ302444,AY.122,6.0,,4.000000000000001,,1054.0,0.0,1.0,0.0,1.0,671.0,2.0,0.0,1.0,0.0,651.0,0.0,0.0,0.0,1.0,1160.0
OZ302450,AY.125,8.0,,4.769230769230767,,1122.0,0.0,1.0,0.0,1.0,718.0,2.0,1.0,2.0,0.0,700.0,0.0,0.0,0.0,1.0,1268.0
OZ302451,AY.126,11.0,,1.3013698630136985,,1121.0,1.0,1.0,0.0,1.0,717.0,2.0,2.0,2.0,1.0,699.0,0.0,0.0,0.0,1.0,1268.0
OZ302453,AY.43,9.0,,3.606060606060609,,1122.0,0.0,1.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,698.0,2.0,0.0,0.0,1.0,1268.0
OZ302454,AY.51,9.0,,3.0,,1121.0,0.0,2.0,0.0,1.0,719.0,2.0,0.0,2.0,0.0,699.0,1.0,0.0,0.0,1.0,1268.0
