accession,pangolin_lineage,mut_sum,stat_b,stat_s,stat_qs,stat_c,H_A_A,H_A_C,H_A_G,H_A_T,H_C_A,H_C_C,H_C_G,H_C_T,H_G_A,H_G_C,H_G_G,H_G_T,H_T_A,H_T_C,H_T_G,H_T_T
OZ302288,AY.121,44.0,,19.53359683794466,,2.99298353213416,7894.0,0.0,4.0,0.0,1.0,4920.0,2.0,19.0,4.0,0.0,5273.0,10.0,0.0,3.0,1.0,8554.0
OZ302291,AY.127,38.0,,18.61379310344827,,2.993160630143142,7039.0,0.0,3.0,0.0,2.0,4401.0,2.0,14.0,3.0,0.0,4656.0,11.0,0.0,2.0,1.0,7508.0
OZ302292,AY.125,43.0,,19.487012987012978,,2.993078431700703,7872.0,0.0,5.0,0.0,0.0,4876.0,2.0,18.0,3.0,0.0,5209.0,11.0,0.0,4.0,0.0,8458.0
OZ302293,AY.122,47.0,17.200000000000003,17.118858954041194,-0.31299271608524465,2.992549472736072,8027.0,1.0,5.0,1.0,1.0,4991.0,2.0,17.0,5.0,2.0,5310.0,9.0,0.0,3.0,1.0,8650.0
OZ302294,AY.4.2,42.0,,13.570422535211273,,2.9937228071619115,8568.0,0.0,5.0,0.0,1.0,5254.0,2.0,19.0,2.0,0.0,5636.0,7.0,0.0,5.0,1.0,9170.0
OZ302295,AY.4,42.0,,18.51848280295726,,2.9932117831685887,7860.0,0.0,5.0,0.0,1.0,4900.0,2.0,16.0,4.0,1.0,5201.0,10.0,0.0,2.0,1.0,8483.0
OZ302296,AY.43.8,39.0,21.476190476190474,18.716285924834196,,2.9944029619300427,8846.0,0.0,4.0,1.0,2.0,5434.0,2.0,16.0,3.0,0.0,5819.0,8.0,0.0,2.0,1.0,9525.0
OZ302298,AY.121.1,40.0,,19.17981072555204,,2.993979989539951,8396.0,0.0,5.0,0.0,1.0,5207.0,2.0,16.0,3.0,0.0,5581.0,10.0,0.0,2.0,1.0,9082.0
OZ302299,AY.125,44.0,,18.109829922167762,,2.9935895836107997,8682.0,1.0,5.0,0.0,1.0,5354.0,1.0,18.0,4.0,0.0,5717.0,10.0,0.0,3.0,1.0,9353.0
OZ302303,AY.4.2,41.0,,12.703028091937245,,2.993859689334711,8467.0,0.0,5.0,0.0,1.0,5245.0,2.0,15.0,4.0,0.0,5581.0,9.0,0.0,4.0,1.0,9166.0
OZ302305,AY.126,42.0,,16.904761904761905,,2.9938330536150954,8718.0,2.0,5.0,0.0,2.0,5347.0,2.0,16.0,4.0,0.0,5729.0,8.0,0.0,2.0,1.0,9360.0
OZ302306,AY.41,42.0,,16.493693693693697,,2.9924535490346345,7045.0,1.0,4.0,0.0,1.0,4402.0,2.0,13.0,4.0,0.0,4635.0,13.0,0.0,2.0,2.0,7507.0
OZ302308,AY.125,44.0,,17.806178073894607,,2.9934937770031596,8595.0,0.0,6.0,0.0,1.0,5308.0,2.0,18.0,4.0,0.0,5658.0,9.0,0.0,3.0,1.0,9262.0
OZ302312,AY.106,41.0,,12.904698433855385,,2.9937941357064046,8407.0,0.0,4.0,0.0,2.0,5195.0,2.0,15.0,5.0,0.0,5539.0,8.0,0.0,4.0,1.0,9070.0
OZ302313,AY.51,48.0,15.414141414141412,12.161404196901355,,2.992800885669961,8305.0,0.0,6.0,2.0,1.0,5154.0,2.0,17.0,5.0,0.0,5501.0,8.0,1.0,5.0,1.0,9017.0
OZ302317,AY.122,34.0,16.730158730158728,12.306144643828167,,2.993579775044685,6684.0,0.0,4.0,0.0,1.0,4186.0,2.0,12.0,3.0,0.0,4417.0,8.0,1.0,2.0,1.0,7099.0
OZ302318,AY.125,41.0,,17.69940195152659,,2.9935761484664294,8076.0,1.0,5.0,0.0,1.0,5019.0,2.0,15.0,4.0,0.0,5345.0,10.0,0.0,2.0,1.0,8726.0
OZ302320,AY.5,36.0,15.837301587301587,12.913801452784503,,2.9946054236108353,8432.0,0.0,4.0,1.0,1.0,5217.0,2.0,13.0,3.0,0.0,5577.0,8.0,0.0,3.0,1.0,9063.0
OZ302321,AY.4.2,41.0,,11.159613059250308,,2.9937682027942394,8385.0,0.0,5.0,0.0,1.0,5166.0,2.0,16.0,3.0,0.0,5517.0,8.0,0.0,5.0,1.0,9027.0
OZ302323,AY.121,39.0,21.484033613445376,18.970728137577748,,2.99424970377552,8492.0,0.0,4.0,2.0,1.0,5246.0,2.0,15.0,3.0,0.0,5632.0,9.0,0.0,2.0,1.0,9190.0
OZ302326,AY.43.8,36.0,18.65396825396825,15.73933649289101,,2.994707009777775,8609.0,0.0,4.0,1.0,2.0,5311.0,2.0,13.0,3.0,0.0,5677.0,8.0,0.0,2.0,1.0,9287.0
OZ302329,AY.43,38.0,18.65396825396825,15.5518441196938,,2.994416788819594,8604.0,0.0,5.0,1.0,2.0,5317.0,2.0,12.0,4.0,0.0,5678.0,9.0,0.0,2.0,1.0,9242.0
OZ302330,AY.125,44.0,,18.109829922167762,,2.9934801460603317,8530.0,1.0,5.0,0.0,1.0,5267.0,1.0,18.0,4.0,0.0,5633.0,10.0,0.0,3.0,1.0,9170.0
OZ302331,AY.122,36.0,23.607843137254903,16.638816813700057,1.0845281030632627,2.99382964605714,7381.0,1.0,4.0,0.0,0.0,4542.0,2.0,15.0,2.0,0.0,4889.0,9.0,1.0,2.0,0.0,7945.0
OZ302332,AY.9.2,35.0,,11.393867924528298,,2.99491568320112,8876.0,0.0,3.0,0.0,1.0,5450.0,2.0,14.0,4.0,1.0,5831.0,6.0,0.0,3.0,1.0,9547.0
OZ302335,AY.33,44.0,16.90377458798511,13.06537232735315,,2.9937049842062384,8872.0,0.0,6.0,1.0,2.0,5448.0,2.0,15.0,5.0,0.0,5829.0,8.0,0.0,4.0,1.0,9546.0
OZ302337,AY.126,47.0,,14.515214241357896,,2.9931489019751454,8753.0,2.0,6.0,0.0,1.0,5370.0,2.0,17.0,5.0,0.0,5750.0,9.0,0.0,4.0,1.0,9430.0
OZ302338,AY.122,47.0,,21.915572232645406,,2.9929039351893634,8469.0,0.0,7.0,0.0,2.0,5182.0,2.0,19.0,2.0,0.0,5561.0,11.0,0.0,3.0,1.0,9021.0
OZ302340,AY.122,47.0,26.608771929824563,24.71453175457481,0.23570329629621145,2.993302831285945,8872.0,1.0,5.0,1.0,1.0,5447.0,2.0,17.0,3.0,0.0,5825.0,14.0,0.0,2.0,1.0,9548.0
OZ302341,AY.43,37.0,17.80808080808081,14.399999999999995,,2.9945276831609324,8515.0,0.0,5.0,1.0,2.0,5271.0,2.0,10.0,4.0,0.0,5620.0,10.0,0.0,2.0,1.0,9224.0
OZ302342,AY.43,34.0,18.95238095238095,16.89437314906219,,2.994844641993791,8431.0,0.0,6.0,1.0,2.0,5151.0,2.0,13.0,3.0,0.0,5530.0,5.0,0.0,1.0,1.0,9000.0
OZ302343,AY.4.2,41.0,,11.159613059250308,,2.993915039970294,8607.0,0.0,5.0,0.0,1.0,5284.0,2.0,16.0,3.0,0.0,5650.0,8.0,0.0,5.0,1.0,9256.0
OZ302344,AY.129,39.0,,14.839863713798977,,2.994393350916889,8875.0,0.0,4.0,0.0,1.0,5449.0,2.0,15.0,4.0,0.0,5830.0,9.0,0.0,3.0,1.0,9547.0
OZ302345,AY.126,45.0,,10.93084112149533,,2.9928396590430846,7984.0,2.0,5.0,0.0,1.0,4937.0,2.0,15.0,5.0,0.0,5253.0,9.0,0.0,5.0,1.0,8647.0
OZ302347,AY.43,37.0,18.6017316017316,13.428301172909572,,2.993868308970073,7606.0,0.0,4.0,1.0,3.0,4707.0,2.0,11.0,2.0,0.0,5052.0,10.0,0.0,3.0,1.0,8196.0
OZ302348,AY.9.2,32.0,,7.956155143338954,,2.9948558539449426,7983.0,0.0,3.0,0.0,1.0,4905.0,2.0,13.0,4.0,0.0,5237.0,4.0,0.0,4.0,1.0,8624.0
OZ302349,AY.43,34.0,17.587301587301585,14.829068577277386,,2.9943159568723288,7506.0,0.0,3.0,1.0,2.0,4701.0,2.0,12.0,3.0,0.0,4993.0,8.0,0.0,2.0,1.0,8126.0
OZ302351,AY.44,42.0,,23.069306930693077,,2.993741049087405,8544.0,0.0,4.0,0.0,1.0,5254.0,2.0,19.0,2.0,0.0,5622.0,11.0,0.0,2.0,1.0,9175.0
OZ302353,AY.43.8,34.0,17.587301587301585,14.829068577277386,,2.9943653112579858,7568.0,0.0,3.0,1.0,2.0,4752.0,2.0,12.0,3.0,0.0,5038.0,8.0,0.0,2.0,1.0,8175.0
OZ302354,AY.44,41.0,,20.039647577092516,,2.9936798974856678,8207.0,0.0,5.0,0.0,1.0,5093.0,2.0,16.0,3.0,0.0,5429.0,11.0,0.0,2.0,1.0,8847.0
OZ302355,AY.122,42.0,21.181818181818183,15.637218580792243,,2.9939461776268215,8777.0,0.0,7.0,0.0,1.0,5398.0,2.0,14.0,4.0,0.0,5768.0,10.0,1.0,2.0,1.0,9440.0
OZ302356,AY.43,41.0,20.28654970760234,18.02229402261713,,2.994169644412412,8874.0,0.0,4.0,1.0,1.0,5447.0,2.0,17.0,4.0,0.0,5830.0,8.0,1.0,2.0,1.0,9547.0
OZ302357,AY.122,39.0,,14.316139767054906,,2.993875667512501,8080.0,0.0,4.0,0.0,1.0,5032.0,2.0,13.0,3.0,1.0,5351.0,11.0,0.0,3.0,1.0,8765.0
OZ302359,AY.42,42.0,,14.738675958188168,,2.9939165543744712,8790.0,0.0,5.0,0.0,1.0,5413.0,2.0,17.0,4.0,0.0,5788.0,8.0,0.0,3.0,2.0,9454.0
OZ302360,AY.122,37.0,19.619047619047617,16.82570806100218,,2.9944259127003896,8343.0,0.0,4.0,1.0,1.0,5177.0,2.0,12.0,3.0,0.0,5520.0,11.0,0.0,2.0,1.0,9003.0
OZ302362,AY.43,33.0,14.802197802197801,12.003972194637536,-0.5894097123490166,2.994859408071592,8247.0,0.0,4.0,1.0,3.0,5056.0,2.0,11.0,2.0,1.0,5431.0,6.0,0.0,2.0,1.0,8825.0
OZ302363,AY.9.2,35.0,,7.504106127605809,,2.9946317501522053,8308.0,0.0,3.0,0.0,1.0,5144.0,2.0,13.0,4.0,0.0,5494.0,6.0,0.0,5.0,1.0,8942.0
OZ302365,AY.4.2,40.0,,10.450132391879968,,2.994057093751664,8607.0,0.0,5.0,0.0,1.0,5284.0,2.0,16.0,3.0,0.0,5650.0,7.0,0.0,5.0,1.0,9256.0
OZ302368,AY.4,36.0,,15.773745997865523,,2.99466598195652,8643.0,0.0,5.0,0.0,1.0,5312.0,2.0,15.0,3.0,0.0,5673.0,7.0,0.0,2.0,1.0,9242.0
OZ302369,AY.4.9,40.0,18.339181286549707,14.198806415516597,,2.994140547763232,8643.0,0.0,4.0,0.0,1.0,5333.0,2.0,16.0,4.0,0.0,5687.0,8.0,1.0,3.0,1.0,9309.0
OZ302370,AY.119,36.0,,19.942492012779546,,2.9945802905711534,8506.0,0.0,4.0,0.0,1.0,5214.0,2.0,15.0,3.0,0.0,5589.0,9.0,0.0,1.0,1.0,9052.0
OZ302371,AY.43,41.0,20.700549450549453,16.587144622991346,,2.9939817150813948,8596.0,0.0,4.0,1.0,2.0,5312.0,2.0,13.0,3.0,0.0,5656.0,12.0,0.0,3.0,1.0,9262.0
OZ302373,AY.98.1,40.0,,20.741907261592303,,2.9937176403978363,8047.0,0.0,3.0,0.0,1.0,5010.0,2.0,15.0,3.0,0.0,5301.0,13.0,0.0,2.0,1.0,8669.0
OZ302376,B.1.617.2,45.0,,15.261621621621615,,2.993343924548624,8642.0,1.0,4.0,0.0,1.0,5309.0,2.0,18.0,5.0,0.0,5669.0,9.0,0.0,4.0,1.0,9240.0
OZ302377,AY.33,43.0,18.535353535353536,15.233384853168468,,2.993848758241673,8872.0,0.0,6.0,1.0,2.0,5448.0,2.0,15.0,5.0,0.0,5829.0,8.0,0.0,3.0,1.0,9547.0
OZ302378,AY.43,36.0,22.07142857142857,17.930851063829778,,2.993726060118646,7253.0,0.0,6.0,1.0,2.0,4472.0,2.0,14.0,1.0,0.0,4811.0,7.0,0.0,2.0,1.0,7848.0
OZ302380,AY.4.2,41.0,,11.159613059250308,,2.993915039970294,8607.0,0.0,5.0,0.0,1.0,5284.0,2.0,16.0,3.0,0.0,5650.0,8.0,0.0,5.0,1.0,9256.0
OZ302382,AY.42,42.0,,11.74076655052266,,2.993790405723386,8632.0,0.0,5.0,0.0,1.0,5300.0,2.0,16.0,4.0,0.0,5673.0,8.0,0.0,4.0,2.0,9255.0
OZ302383,AY.126,44.0,,13.173562058526745,,2.9931698170803704,8236.0,2.0,6.0,0.0,1.0,5073.0,2.0,16.0,4.0,0.0,5411.0,8.0,0.0,4.0,1.0,8790.0
OZ302385,AY.126,41.0,,15.621176470588239,,2.993933019008347,8619.0,2.0,5.0,0.0,1.0,5294.0,2.0,14.0,3.0,0.0,5658.0,10.0,0.0,2.0,2.0,9261.0
OZ302387,AY.36.1,40.0,,19.99661303979678,,2.9932614159380284,7526.0,0.0,4.0,0.0,1.0,4633.0,2.0,17.0,3.0,0.0,4972.0,10.0,0.0,2.0,1.0,8175.0
OZ302388,AY.4.2,42.0,,12.216084484159218,,2.993618071894153,8420.0,0.0,5.0,0.0,1.0,5178.0,2.0,18.0,3.0,0.0,5546.0,7.0,0.0,5.0,1.0,8979.0
OZ302390,AY.9.2,39.0,,10.207512597343102,,2.9938745036503907,8126.0,0.0,3.0,0.0,1.0,5012.0,2.0,15.0,6.0,0.0,5326.0,6.0,0.0,5.0,1.0,8785.0
OZ302391,AY.126,42.0,,11.162523389468054,,2.993171516804331,7851.0,2.0,5.0,0.0,1.0,4863.0,2.0,13.0,4.0,1.0,5188.0,9.0,0.0,4.0,1.0,8478.0
OZ302392,AY.46,40.0,,14.120937263794406,,2.9941322767837333,8689.0,0.0,6.0,0.0,1.0,5357.0,2.0,15.0,4.0,0.0,5714.0,8.0,0.0,3.0,1.0,9331.0
OZ302394,AY.4,36.0,15.942857142857143,12.779460482725984,,2.9936083037382266,7118.0,0.0,4.0,1.0,1.0,4405.0,2.0,12.0,3.0,0.0,4679.0,9.0,0.0,3.0,1.0,7658.0
OZ302395,AY.4,36.0,,15.773745997865523,,2.9947170773753293,8734.0,0.0,5.0,0.0,1.0,5357.0,2.0,15.0,3.0,0.0,5727.0,7.0,0.0,2.0,1.0,9346.0
OZ302399,B.1.617.2,31.0,,16.581699346405234,,2.9952712923676668,8423.0,0.0,4.0,0.0,1.0,5168.0,2.0,13.0,2.0,0.0,5521.0,7.0,0.0,1.0,1.0,8973.0
OZ302400,AY.4,38.0,,15.096322241681257,,2.994432291355633,8733.0,0.0,6.0,0.0,1.0,5357.0,2.0,15.0,3.0,0.0,5727.0,7.0,0.0,2.0,2.0,9345.0
OZ302401,AY.4,33.0,,14.301544660846199,,2.995154926793198,8734.0,0.0,5.0,0.0,1.0,5359.0,2.0,13.0,2.0,0.0,5728.0,7.0,0.0,2.0,1.0,9346.0
OZ302404,AY.121,45.0,23.53636363636364,20.021716649431166,,2.9932704649321833,8499.0,0.0,5.0,1.0,2.0,5224.0,2.0,19.0,3.0,0.0,5581.0,9.0,0.0,3.0,1.0,9090.0
OZ302406,AY.4.2,39.0,,9.428760476400527,,2.993645606661308,7770.0,0.0,5.0,0.0,1.0,4839.0,2.0,14.0,3.0,0.0,5145.0,8.0,0.0,5.0,1.0,8397.0
OZ302407,AY.5,41.0,,20.512377076975234,,2.9939478890736835,8655.0,0.0,5.0,0.0,2.0,5294.0,2.0,15.0,2.0,0.0,5669.0,12.0,0.0,2.0,1.0,9265.0
OZ302408,AY.4,44.0,,18.323232323232318,,2.993498042094434,8735.0,0.0,4.0,0.0,1.0,5354.0,3.0,17.0,3.0,1.0,5722.0,11.0,0.0,3.0,1.0,9345.0
OZ302409,AY.129,41.0,,14.801340165549869,,2.993973966444243,8672.0,0.0,3.0,0.0,1.0,5339.0,2.0,15.0,4.0,0.0,5696.0,11.0,0.0,4.0,1.0,9272.0
OZ302410,AY.46.6,40.0,,16.28949691085614,,2.9939145571612493,8426.0,0.0,5.0,0.0,1.0,5166.0,2.0,18.0,3.0,0.0,5523.0,7.0,0.0,3.0,1.0,9007.0
OZ302411,AY.46.6,40.0,,16.28949691085614,,2.9940890815355536,8677.0,0.0,5.0,0.0,1.0,5321.0,2.0,18.0,3.0,0.0,5692.0,7.0,0.0,3.0,1.0,9258.0
OZ302412,AY.43,41.0,16.11111111111111,12.137052759248032,,2.9941324632464554,8873.0,0.0,5.0,1.0,2.0,5448.0,2.0,14.0,4.0,0.0,5830.0,8.0,0.0,4.0,1.0,9546.0
OZ302413,AY.98.1,43.0,,22.41873935264055,,2.9931849992971653,7951.0,0.0,4.0,0.0,1.0,4935.0,2.0,14.0,3.0,0.0,5248.0,16.0,0.0,2.0,1.0,8578.0
OZ302414,AY.84,34.0,23.53529411764706,21.287573194534808,,2.994155810781654,7338.0,0.0,4.0,1.0,1.0,4536.0,2.0,16.0,1.0,0.0,4865.0,7.0,0.0,1.0,1.0,7970.0
OZ302415,B.1.617.2,31.0,,13.48201438848922,,2.995343285086769,8581.0,0.0,4.0,0.0,1.0,5249.0,2.0,14.0,2.0,0.0,5600.0,5.0,0.0,2.0,1.0,9202.0
OZ302417,AY.43,37.0,14.49206349206349,11.342368045649078,-0.5008151974039935,2.9946656424015705,8872.0,0.0,4.0,1.0,3.0,5450.0,2.0,11.0,3.0,1.0,5827.0,8.0,0.0,3.0,1.0,9545.0
OZ302418,AY.5,43.0,,16.601703940362086,,2.993468558321757,8367.0,1.0,5.0,0.0,2.0,5168.0,2.0,15.0,3.0,0.0,5507.0,11.0,0.0,3.0,1.0,9017.0
OZ302420,AY.122,40.0,,21.992774566473987,,2.993810261650685,8295.0,0.0,5.0,0.0,2.0,5109.0,2.0,17.0,2.0,1.0,5474.0,9.0,0.0,1.0,1.0,8857.0
OZ302421,AY.4.2,41.0,,11.159613059250308,,2.993782358964096,8420.0,0.0,5.0,0.0,1.0,5172.0,2.0,16.0,3.0,0.0,5525.0,8.0,0.0,5.0,1.0,9064.0
OZ302422,AY.122,42.0,,16.73690851735016,,2.9936910172021305,8488.0,1.0,5.0,0.0,1.0,5234.0,2.0,16.0,3.0,0.0,5590.0,10.0,0.0,3.0,1.0,9059.0
OZ302423,AY.122,41.0,27.0,22.252571428571425,,2.993564610111376,8063.0,1.0,7.0,0.0,1.0,4957.0,2.0,16.0,3.0,0.0,5351.0,9.0,1.0,0.0,1.0,8612.0
